primary_vote_2016,dem_primary_vote_2016,rep_primary_vote_2016,state,pres_vote_2016,birth_year,income_group,pres_vote_2012,age,income
"Not sure, don't recall",NA,NA,Wisconsin,Donald Trump,1963,"$60,000 - $69,999",Mitt Romney,53,60000
"No, not in either",NA,NA,Wyoming,Gary Johnson,1939,"$30,000 - $39,999",Barack Obama,77,30000
"No, not in either",NA,NA,Louisiana,Donald Trump,1955,"$70,000 - $79,999",Mitt Romney,61,70000
"No, not in either",NA,NA,Oklahoma,Hillary Clinton,1988,"$20,000 - $29,999",Barack Obama,28,20000
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1956,"$80,000 - $99,999",Barack Obama,60,80000
"No, not in either",NA,NA,Massachusetts,Gary Johnson,1941,"$30,000 - $39,999",Mitt Romney,75,30000
In the Republican primary,NA,Marco Rubio,Florida,Donald Trump,1962,Prefer not to say,Mitt Romney,54,NA
In the Democratic primary,Hillary Clinton,NA,District of Columbia,Hillary Clinton,1946,"$30,000 - $39,999",Barack Obama,70,30000
In the Republican primary,NA,Ted Cruz,California,Did not vote for President,1983,"$30,000 - $39,999",NA,33,30000
In the Democratic primary,Hillary Clinton,NA,Maryland,Hillary Clinton,1961,"$120,000 - $149,999",Barack Obama,55,120000
"No, not in either",NA,NA,New Jersey,Donald Trump,1957,"$20,000 - $29,999",Barack Obama,59,20000
In the Republican primary,NA,John Kasich,Ohio,Donald Trump,1956,"$20,000 - $29,999",Mitt Romney,60,20000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1965,"$120,000 - $149,999",Mitt Romney,51,120000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1940,"$120,000 - $149,999",Barack Obama,76,120000
"No, not in either",NA,NA,New York,Donald Trump,1974,"Less than $10,000",Mitt Romney,42,0
In the Republican primary,NA,Ted Cruz,Minnesota,Gary Johnson,1990,"$30,000 - $39,999",NA,26,30000
"No, not in either",NA,NA,Maine,Hillary Clinton,1960,"$40,000 - $49,999",Barack Obama,56,40000
In the Republican primary,NA,Ted Cruz,Massachusetts,Donald Trump,1978,"$30,000 - $39,999",Mitt Romney,38,30000
In the Democratic primary,Hillary Clinton,NA,Oregon,Hillary Clinton,1950,"$40,000 - $49,999",Barack Obama,66,40000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1960,"Less than $10,000",Barack Obama,56,0
"No, not in either",NA,NA,South Carolina,NA,1963,"$150,000 or more",Barack Obama,53,150000
In the Democratic primary,Hillary Clinton,NA,Michigan,Hillary Clinton,1962,"$70,000 - $79,999",Barack Obama,54,70000
In the Republican primary,NA,Donald Trump,Virginia,Donald Trump,1987,"$30,000 - $39,999",Mitt Romney,29,30000
"No, not in either",NA,NA,New Jersey,Hillary Clinton,1943,"$80,000 - $99,999",Barack Obama,73,80000
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1956,"$20,000 - $29,999",NA,60,20000
In the Democratic primary,Hillary Clinton,NA,Nebraska,Hillary Clinton,1987,"$20,000 - $29,999",Barack Obama,29,20000
In the Democratic primary,Hillary Clinton,NA,Washington,Hillary Clinton,1953,"$80,000 - $99,999",Barack Obama,63,80000
In the Democratic primary,Bernie Sanders,NA,Illinois,Jill Stein,1957,"$20,000 - $29,999",Barack Obama,59,20000
In the Democratic primary,Bernie Sanders,NA,Washington,Hillary Clinton,1966,Prefer not to say,Barack Obama,50,NA
"No, not in either",NA,NA,Utah,Donald Trump,1948,"$40,000 - $49,999",Mitt Romney,68,40000
In the Republican primary,NA,Donald Trump,Virginia,Donald Trump,1950,"$100,000 - $119,999",Mitt Romney,66,100000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1936,Prefer not to say,Barack Obama,80,NA
"No, not in either",NA,NA,Illinois,Hillary Clinton,1983,"$70,000 - $79,999",Barack Obama,33,70000
In the Democratic primary,Hillary Clinton,NA,Virginia,Hillary Clinton,1968,Prefer not to say,NA,48,NA
In the Democratic primary,Someone else,NA,Michigan,Hillary Clinton,1980,"$30,000 - $39,999",Barack Obama,36,30000
"No, not in either",NA,NA,California,Did not vote for President,1970,"$10,000 - $19,999",I did not vote in this race,46,10000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1947,"$60,000 - $69,999",Barack Obama,69,60000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1958,"$30,000 - $39,999",Mitt Romney,58,30000
In the Republican primary,NA,Donald Trump,Oregon,Donald Trump,1952,"$50,000 - $59,999",NA,64,50000
In the Democratic primary,Bernie Sanders,NA,Rhode Island,Hillary Clinton,1960,"$100,000 - $119,999",Barack Obama,56,100000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1962,"$20,000 - $29,999",Mitt Romney,54,20000
In the Democratic primary,Bernie Sanders,NA,North Carolina,Donald Trump,1989,Prefer not to say,Mitt Romney,27,NA
In the Democratic primary,Hillary Clinton,NA,Washington,Hillary Clinton,1972,Prefer not to say,Barack Obama,44,NA
"No, not in either",NA,NA,Georgia,Gary Johnson,1963,"$100,000 - $119,999",Mitt Romney,53,100000
"No, not in either",NA,NA,Florida,Hillary Clinton,1964,"$30,000 - $39,999",Other candidate,52,30000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1963,"Less than $10,000",NA,53,0
In the Democratic primary,Bernie Sanders,NA,New Hampshire,Hillary Clinton,1956,"$70,000 - $79,999",Barack Obama,60,70000
"No, not in either",NA,NA,Florida,Donald Trump,1948,Prefer not to say,Mitt Romney,68,NA
In the Democratic primary,Hillary Clinton,NA,Alabama,Hillary Clinton,1957,"$20,000 - $29,999",NA,59,20000
In the Democratic primary,Bernie Sanders,NA,Washington,Hillary Clinton,1948,"$10,000 - $19,999",Barack Obama,68,10000
In the Democratic primary,Don't recall,NA,New York,NA,1984,"Less than $10,000",Barack Obama,32,0
In the Democratic primary,Hillary Clinton,NA,Michigan,Hillary Clinton,1958,"$10,000 - $19,999",Barack Obama,58,10000
"No, not in either",NA,NA,New York,Hillary Clinton,1952,"$40,000 - $49,999",Barack Obama,64,40000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1966,"$40,000 - $49,999",Mitt Romney,50,40000
In the Republican primary,NA,Donald Trump,Missouri,Donald Trump,1964,"$100,000 - $119,999",Mitt Romney,52,100000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1953,"$120,000 - $149,999",Mitt Romney,63,120000
In the Democratic primary,Hillary Clinton,NA,Massachusetts,Donald Trump,1954,"$20,000 - $29,999",Barack Obama,62,20000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1957,"$80,000 - $99,999",Barack Obama,59,80000
In the Republican primary,NA,Donald Trump,South Carolina,Donald Trump,1944,"$10,000 - $19,999",Mitt Romney,72,10000
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1977,"$20,000 - $29,999",Other candidate,39,20000
"No, not in either",NA,NA,Michigan,NA,1964,"$10,000 - $19,999",NA,52,10000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1931,Prefer not to say,Barack Obama,85,NA
In the Democratic primary,Hillary Clinton,NA,Pennsylvania,Hillary Clinton,1958,"$20,000 - $29,999",NA,58,20000
"No, not in either",NA,NA,Missouri,Donald Trump,1964,"Less than $10,000",NA,52,0
In the Republican primary,NA,Ted Cruz,California,Donald Trump,1955,"$100,000 - $119,999",Mitt Romney,61,100000
In the Republican primary,NA,Ted Cruz,North Carolina,Donald Trump,1957,"$150,000 or more",Mitt Romney,59,150000
In the Republican primary,NA,Ted Cruz,Texas,Donald Trump,1955,Prefer not to say,Mitt Romney,61,NA
In the Republican primary,NA,Donald Trump,Washington,Donald Trump,1951,"$80,000 - $99,999",Mitt Romney,65,80000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1965,"$120,000 - $149,999",Mitt Romney,51,120000
"No, not in either",NA,NA,Oregon,Donald Trump,1986,"$40,000 - $49,999",NA,30,40000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1961,"$40,000 - $49,999",Mitt Romney,55,40000
In the Republican primary,NA,John Kasich,California,Hillary Clinton,1983,"$150,000 or more",Barack Obama,33,150000
In the Democratic primary,Hillary Clinton,NA,Michigan,Hillary Clinton,1955,"$20,000 - $29,999",Mitt Romney,61,20000
"No, not in either",NA,NA,Georgia,NA,1947,"$50,000 - $59,999",NA,69,50000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1951,"$20,000 - $29,999",Barack Obama,65,20000
"No, not in either",NA,NA,Hawaii,Hillary Clinton,1990,"$50,000 - $59,999",Mitt Romney,26,50000
In the Republican primary,NA,Marco Rubio,Florida,Hillary Clinton,1944,"$80,000 - $99,999",NA,72,80000
In the Democratic primary,Bernie Sanders,NA,Connecticut,Hillary Clinton,1953,"$100,000 - $119,999",Barack Obama,63,100000
"No, not in either",NA,NA,Virginia,NA,1940,Prefer not to say,Mitt Romney,76,NA
In the Republican primary,NA,Ted Cruz,Mississippi,NA,1968,"$70,000 - $79,999",NA,48,70000
In the Democratic primary,Bernie Sanders,NA,Minnesota,Hillary Clinton,1978,"$10,000 - $19,999",Barack Obama,38,10000
In the Republican primary,NA,Ted Cruz,Texas,Donald Trump,1958,"$150,000 or more",Mitt Romney,58,150000
In the Democratic primary,Bernie Sanders,NA,North Carolina,Hillary Clinton,1958,"$30,000 - $39,999",Barack Obama,58,30000
In the Democratic primary,Bernie Sanders,NA,Florida,Jill Stein,1959,"$10,000 - $19,999",Barack Obama,57,10000
In the Democratic primary,Bernie Sanders,NA,Arizona,Hillary Clinton,1960,"$60,000 - $69,999",Barack Obama,56,60000
In the Republican primary,NA,Marco Rubio,Illinois,Other,1963,"$120,000 - $149,999",Mitt Romney,53,120000
"No, not in either",NA,NA,Texas,Hillary Clinton,1952,"$50,000 - $59,999",Barack Obama,64,50000
"No, not in either",NA,NA,Virginia,NA,1951,"$20,000 - $29,999",Barack Obama,65,20000
In the Republican primary,NA,John Kasich,Pennsylvania,Hillary Clinton,1994,NA,Mitt Romney,22,NA
"No, not in either",NA,NA,Texas,Donald Trump,1942,"$30,000 - $39,999",Mitt Romney,74,30000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1969,"Less than $10,000",Barack Obama,47,0
In the Republican primary,NA,Ted Cruz,Virginia,Hillary Clinton,1960,"$60,000 - $69,999",Barack Obama,56,60000
In the Democratic primary,Bernie Sanders,NA,Maryland,Donald Trump,1947,"$60,000 - $69,999",Mitt Romney,69,60000
"No, not in either",NA,NA,Pennsylvania,NA,1946,"Less than $10,000",NA,70,0
In the Democratic primary,Bernie Sanders,NA,Wisconsin,Hillary Clinton,1963,"$100,000 - $119,999",Barack Obama,53,100000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1988,"$10,000 - $19,999",Barack Obama,28,10000
In the Democratic primary,Bernie Sanders,NA,Washington,Hillary Clinton,1989,"$20,000 - $29,999",Barack Obama,27,20000
In the Republican primary,NA,Ted Cruz,Texas,Donald Trump,1967,"$60,000 - $69,999",Mitt Romney,49,60000
"No, not in either",NA,NA,Florida,Donald Trump,1961,"$30,000 - $39,999",Mitt Romney,55,30000
In the Democratic primary,Hillary Clinton,NA,Kentucky,Hillary Clinton,1963,"$10,000 - $19,999",Barack Obama,53,10000
In the Democratic primary,Bernie Sanders,NA,New York,Hillary Clinton,1990,"$10,000 - $19,999",Barack Obama,26,10000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1994,"$20,000 - $29,999",Barack Obama,22,20000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1953,"$40,000 - $49,999",Barack Obama,63,40000
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1964,"$60,000 - $69,999",Mitt Romney,52,60000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1949,"$10,000 - $19,999",Mitt Romney,67,10000
In the Democratic primary,Hillary Clinton,NA,Michigan,Hillary Clinton,1957,"$40,000 - $49,999",Barack Obama,59,40000
In the Republican primary,NA,Marco Rubio,Massachusetts,Donald Trump,1961,"$40,000 - $49,999",Mitt Romney,55,40000
"No, not in either",NA,NA,Washington,Hillary Clinton,1974,"$40,000 - $49,999",Barack Obama,42,40000
"No, not in either",NA,NA,Minnesota,Hillary Clinton,1955,"$40,000 - $49,999",NA,61,40000
"No, not in either",NA,Don't recall,Minnesota,Donald Trump,1970,"$120,000 - $149,999",NA,46,120000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1954,Prefer not to say,NA,62,NA
In the Democratic primary,Hillary Clinton,NA,Colorado,Hillary Clinton,1962,Prefer not to say,Barack Obama,54,NA
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1942,"$60,000 - $69,999",Mitt Romney,74,60000
In the Republican primary,NA,Ted Cruz,Utah,Evan McMullin,1960,"$100,000 - $119,999",Mitt Romney,56,100000
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1963,"$40,000 - $49,999",Mitt Romney,53,40000
In the Democratic primary,Hillary Clinton,NA,District of Columbia,Hillary Clinton,1962,Prefer not to say,NA,54,NA
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1964,"$50,000 - $59,999",Mitt Romney,52,50000
In the Democratic primary,Hillary Clinton,NA,Wisconsin,Hillary Clinton,1959,"$80,000 - $99,999",Barack Obama,57,80000
"No, not in either",NA,NA,California,Donald Trump,1961,"$20,000 - $29,999",Mitt Romney,55,20000
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1964,Prefer not to say,Barack Obama,52,NA
In the Republican primary,NA,Donald Trump,California,Donald Trump,1940,"$30,000 - $39,999",Mitt Romney,76,30000
In the Republican primary,NA,Donald Trump,West Virginia,Donald Trump,1943,"$40,000 - $49,999",Mitt Romney,73,40000
"No, not in either",NA,NA,North Carolina,Hillary Clinton,1939,"$20,000 - $29,999",Barack Obama,77,20000
"No, not in either",NA,NA,Kansas,Hillary Clinton,1946,"$40,000 - $49,999",Barack Obama,70,40000
"No, not in either",NA,NA,Georgia,Hillary Clinton,1949,"$10,000 - $19,999",Mitt Romney,67,10000
In the Democratic primary,Bernie Sanders,NA,California,Jill Stein,1942,"$60,000 - $69,999",Barack Obama,74,60000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1944,Prefer not to say,Barack Obama,72,NA
In the Democratic primary,Hillary Clinton,NA,Wisconsin,Hillary Clinton,1951,"$70,000 - $79,999",Barack Obama,65,70000
In the Democratic primary,Hillary Clinton,NA,North Carolina,Hillary Clinton,1948,"$70,000 - $79,999",Barack Obama,68,70000
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1948,"$20,000 - $29,999",Barack Obama,68,20000
In the Democratic primary,Bernie Sanders,NA,Minnesota,Hillary Clinton,1965,"$50,000 - $59,999",Barack Obama,51,50000
In the Democratic primary,Hillary Clinton,NA,Washington,Hillary Clinton,1945,"$40,000 - $49,999",Barack Obama,71,40000
"No, not in either",NA,NA,Colorado,Donald Trump,1941,"$30,000 - $39,999",Mitt Romney,75,30000
"Not sure, don't recall",NA,NA,Hawaii,Donald Trump,1959,"$20,000 - $29,999",NA,57,20000
In the Republican primary,NA,Ted Cruz,Michigan,Donald Trump,1986,"$50,000 - $59,999",Mitt Romney,30,50000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1964,"$50,000 - $59,999",Barack Obama,52,50000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1955,"$50,000 - $59,999",Barack Obama,61,50000
In the Republican primary,NA,Donald Trump,Delaware,Donald Trump,1948,"$30,000 - $39,999",Mitt Romney,68,30000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1956,"$50,000 - $59,999",Barack Obama,60,50000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1952,"$50,000 - $59,999",Barack Obama,64,50000
In the Democratic primary,Bernie Sanders,NA,Virginia,Donald Trump,1941,"$100,000 - $119,999",Other candidate,75,100000
"No, not in either",NA,NA,Minnesota,Hillary Clinton,1959,"$120,000 - $149,999",Mitt Romney,57,120000
"No, not in either",NA,NA,Illinois,NA,1974,"Less than $10,000",NA,42,0
In the Democratic primary,Hillary Clinton,NA,Utah,Hillary Clinton,1944,"$30,000 - $39,999",Barack Obama,72,30000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1965,"$30,000 - $39,999",Barack Obama,51,30000
"No, not in either",NA,NA,New York,Hillary Clinton,1981,"Less than $10,000",Barack Obama,35,0
In the Democratic primary,Hillary Clinton,NA,Kentucky,NA,1977,"$10,000 - $19,999",NA,39,10000
In the Democratic primary,Hillary Clinton,NA,Tennessee,Hillary Clinton,1941,"$10,000 - $19,999",Barack Obama,75,10000
In the Republican primary,NA,Ted Cruz,Texas,Donald Trump,1963,"$50,000 - $59,999",Mitt Romney,53,50000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1978,"$70,000 - $79,999",Barack Obama,38,70000
In the Republican primary,NA,Donald Trump,Massachusetts,Donald Trump,1956,Prefer not to say,Mitt Romney,60,NA
In the Democratic primary,Hillary Clinton,NA,Washington,Hillary Clinton,1949,Prefer not to say,Barack Obama,67,NA
In the Republican primary,NA,Ted Cruz,Idaho,Donald Trump,1991,Prefer not to say,Mitt Romney,25,NA
In the Republican primary,NA,Marco Rubio,North Carolina,Donald Trump,1952,"$40,000 - $49,999",Mitt Romney,64,40000
In the Republican primary,NA,Donald Trump,New Jersey,Donald Trump,1941,"$30,000 - $39,999",Mitt Romney,75,30000
In the Republican primary,NA,Donald Trump,Wisconsin,Donald Trump,1948,"$30,000 - $39,999",Barack Obama,68,30000
In the Republican primary,NA,Donald Trump,Oklahoma,Donald Trump,1955,"$50,000 - $59,999",Mitt Romney,61,50000
In the Republican primary,NA,Donald Trump,Indiana,Donald Trump,1964,"$30,000 - $39,999",Mitt Romney,52,30000
"No, not in either",NA,NA,California,Hillary Clinton,1990,"$20,000 - $29,999",NA,26,20000
In the Republican primary,NA,Ted Cruz,Arizona,Donald Trump,1945,"$40,000 - $49,999",Mitt Romney,71,40000
In the Democratic primary,Hillary Clinton,NA,Tennessee,Hillary Clinton,1968,"$30,000 - $39,999",Barack Obama,48,30000
In the Democratic primary,Bernie Sanders,NA,Oregon,Hillary Clinton,1966,"$20,000 - $29,999",Barack Obama,50,20000
In the Democratic primary,Hillary Clinton,NA,Virginia,Hillary Clinton,1955,Prefer not to say,Barack Obama,61,NA
In the Democratic primary,Bernie Sanders,NA,Indiana,Hillary Clinton,1960,"$50,000 - $59,999",Barack Obama,56,50000
In the Democratic primary,Hillary Clinton,NA,Indiana,Hillary Clinton,1947,Prefer not to say,Barack Obama,69,NA
"No, not in either",NA,NA,New York,Hillary Clinton,1936,"$50,000 - $59,999",Barack Obama,80,50000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Donald Trump,1947,Prefer not to say,Mitt Romney,69,NA
"No, not in either",Hillary Clinton,NA,Tennessee,Hillary Clinton,1955,"$30,000 - $39,999",Barack Obama,61,30000
"No, not in either",NA,NA,Nevada,Donald Trump,1935,Prefer not to say,Mitt Romney,81,NA
In the Democratic primary,Hillary Clinton,NA,Oklahoma,Hillary Clinton,1968,"Less than $10,000",Barack Obama,48,0
"No, not in either",NA,NA,Maryland,Hillary Clinton,1937,"$20,000 - $29,999",Barack Obama,79,20000
In the Democratic primary,Bernie Sanders,NA,Missouri,Hillary Clinton,1967,"$120,000 - $149,999",Barack Obama,49,120000
In the Republican primary,NA,Marco Rubio,Florida,Donald Trump,1948,"$50,000 - $59,999",Mitt Romney,68,50000
In the Democratic primary,Hillary Clinton,NA,Colorado,Hillary Clinton,1943,"$150,000 or more",Barack Obama,73,150000
"No, not in either",NA,NA,Maryland,NA,1955,"$10,000 - $19,999",NA,61,10000
In the Democratic primary,Hillary Clinton,NA,Maryland,Hillary Clinton,1950,"$20,000 - $29,999",Barack Obama,66,20000
In the Republican primary,NA,Ted Cruz,New Hampshire,Donald Trump,1965,"$150,000 or more",Mitt Romney,51,150000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1963,"$100,000 - $119,999",Barack Obama,53,100000
In the Republican primary,NA,John Kasich,Virginia,Hillary Clinton,1943,Prefer not to say,Barack Obama,73,NA
"No, not in either",NA,NA,District of Columbia,Hillary Clinton,1929,"$60,000 - $69,999",Barack Obama,87,60000
In the Democratic primary,Bernie Sanders,NA,New York,Jill Stein,1964,Prefer not to say,Other candidate,52,NA
In the Democratic primary,Bernie Sanders,NA,Oregon,Hillary Clinton,1941,"$20,000 - $29,999",Barack Obama,75,20000
"No, not in either",NA,NA,Texas,Donald Trump,1969,"$100,000 - $119,999",Barack Obama,47,100000
In the Republican primary,NA,Donald Trump,Pennsylvania,Donald Trump,1953,"$30,000 - $39,999",Mitt Romney,63,30000
In the Republican primary,NA,Donald Trump,Missouri,Donald Trump,1951,"$80,000 - $99,999",Mitt Romney,65,80000
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1956,"$100,000 - $119,999",Barack Obama,60,100000
In the Democratic primary,Hillary Clinton,NA,Minnesota,Hillary Clinton,1934,"$50,000 - $59,999",Barack Obama,82,50000
In the Democratic primary,Hillary Clinton,NA,Oregon,Hillary Clinton,1971,"$30,000 - $39,999",Barack Obama,45,30000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1953,"$40,000 - $49,999",Barack Obama,63,40000
In the Democratic primary,Bernie Sanders,NA,Pennsylvania,Hillary Clinton,1969,"$80,000 - $99,999",Barack Obama,47,80000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1967,"$10,000 - $19,999",Mitt Romney,49,10000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1934,"$20,000 - $29,999",Mitt Romney,82,20000
"No, not in either",NA,NA,Colorado,Donald Trump,1957,"$80,000 - $99,999",Mitt Romney,59,80000
In the Republican primary,NA,Marco Rubio,Florida,Donald Trump,1953,"$70,000 - $79,999",Mitt Romney,63,70000
In the Republican primary,NA,Ted Cruz,Arizona,Gary Johnson,1961,"$30,000 - $39,999",Mitt Romney,55,30000
In the Republican primary,NA,Donald Trump,Illinois,Donald Trump,1961,"$150,000 or more",Mitt Romney,55,150000
"No, not in either",NA,NA,New York,Hillary Clinton,1947,Prefer not to say,Barack Obama,69,NA
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1984,"$10,000 - $19,999",Barack Obama,32,10000
In the Democratic primary,Bernie Sanders,NA,Florida,Donald Trump,1950,"$30,000 - $39,999",Barack Obama,66,30000
"Not sure, don't recall",NA,NA,Virginia,Gary Johnson,1982,"$20,000 - $29,999",Other candidate,34,20000
In the Democratic primary,Bernie Sanders,NA,New Mexico,NA,1946,NA,Barack Obama,70,NA
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1943,"$100,000 - $119,999",Barack Obama,73,100000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1955,"$100,000 - $119,999",Barack Obama,61,100000
In the Democratic primary,Bernie Sanders,NA,Utah,Jill Stein,1986,"$50,000 - $59,999",Mitt Romney,30,50000
In the Republican primary,NA,Donald Trump,Florida,Hillary Clinton,1967,"$60,000 - $69,999",Barack Obama,49,60000
In the Democratic primary,Bernie Sanders,NA,Colorado,Hillary Clinton,1929,"$20,000 - $29,999",Barack Obama,87,20000
"No, not in either",NA,NA,Texas,Donald Trump,1967,"$50,000 - $59,999",NA,49,50000
In the Democratic primary,Hillary Clinton,NA,Missouri,Hillary Clinton,1939,Prefer not to say,Barack Obama,77,NA
"Not sure, don't recall",NA,NA,Arizona,Hillary Clinton,1939,Prefer not to say,Barack Obama,77,NA
"No, not in either",NA,NA,Virginia,Donald Trump,1970,"$40,000 - $49,999",Barack Obama,46,40000
In the Republican primary,NA,Donald Trump,New Jersey,Donald Trump,1964,"$80,000 - $99,999",Mitt Romney,52,80000
In the Republican primary,NA,Ted Cruz,Tennessee,Donald Trump,1962,"$50,000 - $59,999",Mitt Romney,54,50000
In the Republican primary,NA,Donald Trump,Washington,Donald Trump,1957,"$20,000 - $29,999",Other candidate,59,20000
In the Republican primary,NA,Donald Trump,North Carolina,Donald Trump,1961,"$50,000 - $59,999",Mitt Romney,55,50000
In the Republican primary,NA,Donald Trump,Mississippi,Donald Trump,1960,"$10,000 - $19,999",Mitt Romney,56,10000
In the Democratic primary,Hillary Clinton,NA,Massachusetts,Hillary Clinton,1981,"$30,000 - $39,999",Barack Obama,35,30000
In the Republican primary,NA,Donald Trump,New Mexico,Donald Trump,1933,"$100,000 - $119,999",Other candidate,83,100000
In the Democratic primary,Bernie Sanders,NA,Florida,Donald Trump,1951,"$50,000 - $59,999",Barack Obama,65,50000
"No, not in either",NA,NA,Florida,Hillary Clinton,1951,"$70,000 - $79,999",NA,65,70000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1950,"$150,000 or more",Mitt Romney,66,150000
In the Democratic primary,Hillary Clinton,NA,Illinois,Hillary Clinton,1954,"$30,000 - $39,999",Barack Obama,62,30000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1959,"$30,000 - $39,999",Barack Obama,57,30000
"No, not in either",NA,NA,Minnesota,Donald Trump,1962,"$20,000 - $29,999",Mitt Romney,54,20000
"No, not in either",NA,NA,South Carolina,Donald Trump,1956,"$20,000 - $29,999",Mitt Romney,60,20000
In the Republican primary,NA,Donald Trump,Tennessee,Donald Trump,1947,"$60,000 - $69,999",Mitt Romney,69,60000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1946,"$10,000 - $19,999",Barack Obama,70,10000
"No, not in either",NA,NA,Oregon,Hillary Clinton,1979,"$60,000 - $69,999",Barack Obama,37,60000
In the Democratic primary,Hillary Clinton,NA,Florida,Hillary Clinton,1959,"Less than $10,000",Barack Obama,57,0
In the Republican primary,NA,Donald Trump,Indiana,Donald Trump,1959,"$60,000 - $69,999",Mitt Romney,57,60000
In the Democratic primary,Bernie Sanders,NA,Nevada,Donald Trump,1943,"$30,000 - $39,999",Barack Obama,73,30000
"Not sure, don't recall",NA,NA,Wisconsin,Hillary Clinton,1955,Prefer not to say,Barack Obama,61,NA
In the Republican primary,NA,Donald Trump,Florida,Donald Trump,1934,"$20,000 - $29,999",Mitt Romney,82,20000
"No, not in either",NA,NA,Minnesota,Donald Trump,1953,"$60,000 - $69,999",Mitt Romney,63,60000
In the Democratic primary,Bernie Sanders,NA,Missouri,Hillary Clinton,1961,"$10,000 - $19,999",Barack Obama,55,10000
"No, not in either",NA,NA,Florida,Hillary Clinton,1936,"$50,000 - $59,999",Barack Obama,80,50000
In the Democratic primary,Bernie Sanders,NA,Tennessee,Hillary Clinton,1960,Prefer not to say,Barack Obama,56,NA
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1958,"$60,000 - $69,999",Barack Obama,58,60000
In the Democratic primary,Hillary Clinton,NA,Ohio,Hillary Clinton,1959,"$100,000 - $119,999",Barack Obama,57,100000
In the Democratic primary,Someone else,NA,Pennsylvania,Donald Trump,1983,"$50,000 - $59,999",NA,33,50000
In the Democratic primary,Bernie Sanders,NA,Florida,Hillary Clinton,1954,"$80,000 - $99,999",Barack Obama,62,80000
In the Democratic primary,Hillary Clinton,NA,New York,Donald Trump,1973,"Less than $10,000",Barack Obama,43,0
In the Democratic primary,Hillary Clinton,NA,Oregon,Hillary Clinton,1964,"$20,000 - $29,999",Barack Obama,52,20000
In the Republican primary,NA,Donald Trump,Michigan,Donald Trump,1951,"$10,000 - $19,999",Other candidate,65,10000
In the Republican primary,NA,Ted Cruz,Florida,Donald Trump,1965,"$70,000 - $79,999",Mitt Romney,51,70000
